id,name,latitude,longitude,kind,media
500837,"AV. JOSÉ MARIA DE OLIVEIRA,203-  V.NORMA- III - SENT. BAIRRO ",-23.1851315,-47.3117895,URBANO,OUTDOOR
500517,RUA SIQUEIRA CAMPOS - ENTRADA DA CIDADE,-23.871925,-47.996316,URBANO,OUTDOOR
500334,"AV. SÃO PAULO, N° 3333- SENTIDO CENTRO",-23.489160,-47.422272,URBANO,OUTDOOR
500335,"AV. SÃO PAULO, N° 3333- SENTIDO NATIVAS GRILL CHURRASCARIA",-23.489160,-47.422272,URBANO,OUTDOOR
500342,"AV. GENERAL OSÓRIO, N° 1730 - TRUJILO ",-23.487837,-47.478368,URBANO,OUTDOOR
500344,AV. DOMINGOS JULIO - LADO 731 PISTA DE CAMINHADA PLACA I,-23.5248195,-47.4672248,URBANO,OUTDOOR
500345,AV. DOMINGOS JULIO - LADO 731 PISTA DE CAMINHADA PLACA II,-23.5248195,-47.4672248,URBANO,OUTDOOR
500681,AV.PEREIRA INACIO X RUA JANUARIO BARBOSA - I,-23.508387, -47.456012,URBANO,OUTDOOR
500682,RUA JOUBERT WEY ESQUINA COM PAULISTÃO RODOVIÁRIA,-23.507194,-47.456564,URBANO,OUTDOOR
500683,RUA PANDIÁ CALÓGERAS X RODOVIÁRIA/PAULISTÃO- II,-23.507191,-47.546718,URBANO,OUTDOOR
500686,JOSÉ MARIA HANNIKEL- CAMPOLIM- PLACA 1,-23.520551,-47.464085,URBANO,OUTDOOR
500687,JOSÉ MARIA HANNIKEL- CAMPOLIM- PLACA 2,-23.525203,-47.463328,URBANO,OUTDOOR
500688,"AVENIDA ANTONIO CARLOS COMITRE, 444- PQ. CAMPOLIM - 1",-23.519520,-47.464694,URBANO,OUTDOOR
500689,"AVENIDA ANTONIO CARLOS COMITRE, 444- PQ. CAMPOLIM - 2",-23.519448,-47.464665,URBANO,OUTDOOR
500690,"AV. EUGÊNIO SALERNO, 204 - JULIO PRESTES -I",-23.500327, -47.468447,URBANO,OUTDOOR
500693,"AV. PEREIRA INÁCIO, 2280 - I",-23.525273,-47.450633,URBANO,OUTDOOR
